metadata,category
change:both_ways,other
change:forward,other
change:lanes,lanes
change:lanes:backward,lanes
change:lanes:both_ways,lanes
change:lanes:bus,lanes
change:lanes:forward,lanes
changing_table,other
charge,other
check_date,other
check_date:access,other
check_date:cycleway,other
check_date:lit,other
check_date:surface,basic (detailed)
checkname,names
chicago:building_id,other
circumference,other
city,other
class:bicycle,bicycle
class:justification,other
class:justify,other
clearance,other
clopin:id,other
clopin:route,other
close_street,other
closed,other
cnt_name,names
coach,other
colonnade:left,other
colonnade:right,other
colour,other
comment,other
comment:name,names
comment_2,other
common_name,names
communication,other
community_centre,other
concrete,other
condition,other
constructed_by,other
construction,life_cycle
construction:bridge,life_cycle
construction:centre_turn_lane,life_cycle
construction:cycleway,life_cycle
construction:date,life_cycle
construction:destination,life_cycle
construction:destination:forward,life_cycle
construction:destination:lanes,life_cycle
construction:destination:lanes:backward,life_cycle
construction:destination:lanes:forward,life_cycle
construction:destination:ref,life_cycle
construction:destination:ref:lanes,life_cycle
construction:destination:ref:lanes:backward,life_cycle
construction:destination:ref:lanes:forward,life_cycle
construction:destination:ref:to,life_cycle
construction:destination:ref:to:forward,life_cycle
construction:destination:ref:to:lanes,life_cycle
construction:destination:street,life_cycle
construction:destination:street:lanes,life_cycle
construction:destination:street:to,life_cycle
construction:destination:street:to:lanes,life_cycle
construction:expressway,life_cycle
construction:hgv:lanes,life_cycle
construction:highway,life_cycle
construction:lanes,life_cycle
construction:lanes:backward,life_cycle
construction:lanes:both_ways,life_cycle
construction:lanes:forward,life_cycle
construction:maxspeed,speed limits
construction:maxspeed:type,speed limits
construction:name,life_cycle
construction:oneway,life_cycle
construction:ref,life_cycle
construction:sidewalk,pedestrian
construction:source,sources for metadata
construction:start_date,life_cycle
construction:surface,life_cycle
construction:trailer:lanes,life_cycle
construction:turn:lanes,turns
construction:turn:lanes:backward,turns
construction:turn:lanes:both_ways,turns
construction:turn:lanes:forward,turns
construction:website,life_cycle
construction:website_2,life_cycle
construction_date,other
construction_end_expected,other
construction_start,other
construction_time,other
construction_year,other
contact,other
contact:facebook,other
contact:phone,other
contact:website,other
content,other
conveying,other
cooperative,other
cosmha,other
county,address
cover,other
covered,other
covered:lanes,lanes
crane:type,other
created_by,other
crop,other
cross_country_ski,winter
crossing,basic
crossing:island,basic (detailed)
crossing:light,basic (detailed)
crossing_ref,other
ctran:reviewed,other
cuisine,other
curve,other
curve:name,names
curve_geometry,other
cutline,other
cutting,other
cutting:name,names
cycle,bicycle
cycle_network,bicycle
cyclerating,other
cyclestreet,other
cycleway,bicycle
cycleway:backward,bicycle
cycleway:bicycle,bicycle
cycleway:both,bicycle
cycleway:both:buffer,bicycle
cycleway:both:lane,bicycle
cycleway:both:oneway,bicycle
cycleway:both:segregated,bicycle
cycleway:both:width,bicycle
cycleway:buffer,bicycle
cycleway:buffer:left,bicycle
cycleway:buffer:right,bicycle
cycleway:center,bicycle
cycleway:colour,bicycle
cycleway:direction,bicycle
cycleway:est_width,bicycle
cycleway:foot,bicycle
cycleway:forward,bicycle
cycleway:golf_cart,bicycle
cycleway:lane,bicycle
cycleway:lane:backward,bicycle
cycleway:lane:buffer,bicycle
cycleway:lane:forward,bicycle
cycleway:lane:width,bicycle
cycleway:lanes,bicycle
cycleway:lanes:backward,bicycle
cycleway:lanes:forward,bicycle
cycleway:left,bicycle
cycleway:left:bicycle,bicycle
cycleway:left:buffer,bicycle
cycleway:left:colour,bicycle
cycleway:left:foot,bicycle
cycleway:left:lane,bicycle
cycleway:left:lanes,bicycle
cycleway:left:name,bicycle
cycleway:left:oneway,bicycle
cycleway:left:segregated,bicycle
cycleway:left:separation:right,bicycle
cycleway:left:surface,bicycle
cycleway:left:track,bicycle
cycleway:left:width,bicycle
cycleway:left_1,bicycle
cycleway:official,bicycle
cycleway:proposed,bicycle
cycleway:right,bicycle
cycleway:right:bicycle,bicycle
cycleway:right:buffer,bicycle
cycleway:right:buffer:right,bicycle
cycleway:right:colour,bicycle
cycleway:right:foot,bicycle
cycleway:right:lane,bicycle
cycleway:right:oneway,bicycle
cycleway:right:segregated,bicycle
cycleway:right:surface,bicycle
cycleway:right:track,bicycle
cycleway:right:width,bicycle
cycleway:right_1,bicycle
cycleway:separation,bicycle
cycleway:smoothness,bicycle
cycleway:source,bicycle
cycleway:surface,bicycle
cycleway:track,bicycle
cycleway:width,bicycle
cycleway_1,bicycle
damage:event,other
danger,other
danger_1,other
date,other
date_off,other
date_on,other
day_off,other
day_on,other
day_on:bicycle,bicycle
day_on:motor_vehicle,other
daytime_headlinghts,other
ddd,other
delivery,other
demolished,life_cycle
demolished:highway,life_cycle
denomination,other
denomination:ref,other
denotation,other
departures_board,other
depth,other
descent,other
description,other
description:en,other
description:ref,other
description:restriction,other
description:street,other
description_1,other
description_2,other
description_3,other
design,other
designation,other
destination,destination
destination:arrow:lanes,lanes
destination:backward,destination
destination:both_ways,destination
destination:colour,destination
destination:colour:backward,destination
destination:colour:forward,destination
destination:colour:lanes,lanes
destination:colour:ref,destination
destination:distance,destination
destination:distance:forward,destination
destination:distance:lanes,lanes
destination:distance:lanes:forward,lanes
destination:forward,destination
destination:lanes,lanes
destination:lanes:backward,lanes
destination:lanes:conditional,lanes
destination:lanes:forward,lanes
destination:lang:fr,destination
destination:left,destination
destination:loc_ref,destination
destination:name,names
destination:pronunciation,destination
destination:pronunciation:backward,destination
destination:pronunciation:lanes,lanes
destination:ref,destination
destination:ref:backward,destination
destination:ref:forward,destination
destination:ref:forward:wikidata,Metadata for other datasets
destination:ref:lanes,lanes
destination:ref:lanes:backward,lanes
destination:ref:lanes:forward,lanes
destination:ref:left,destination
destination:ref:to,destination
destination:ref:to:backward,destination
destination:ref:to:forward,destination
destination:ref:to:lanes,lanes
destination:ref:to:lanes:backward,lanes
destination:ref:to:lanes:forward,lanes
destination:ref:to:wikidata,Metadata for other datasets
destination:ref:to:wikidata:backward,Metadata for other datasets
destination:ref:to:wikidata:forward,Metadata for other datasets
destination:ref:to:wikidata:lanes,Metadata for other datasets
destination:ref:to:wikidata:lanes:backward,Metadata for other datasets
destination:ref:wikidata,Metadata for other datasets
destination:ref:wikidata:backward,Metadata for other datasets
destination:ref:wikidata:forward,Metadata for other datasets
destination:ref:wikidata:lanes,Metadata for other datasets
destination:ref:wikidata:lanes:backward,Metadata for other datasets
destination:ref:wikidata:lanes:forward,Metadata for other datasets
destination:right,destination
destination:sign,destination
destination:street,destination
destination:street:backward,destination
destination:street:forward,destination
